Name of Owner,Address,AccountNum,Debt Date Incurred,Basis for Claim,Contigent,Unliquidated,Disputed,offset,Total Claim,Page Number
Name on File,Address on File,on File,8/19/2020,Retail Crypto‐Backed Loan,,,,Y,"$51,049.85",102
Name on File,Address on File,on File,3/3/2021,Retail Crypto‐Backed Loan,,,,Y,"$33,238.06",102
Name on File,Address on File,on File,5/14/2020,Retail Crypto‐Backed Loan,,,,Y,"$45,811.48",102
Name on File,Address on File,on File,12/17/2020,Retail Crypto‐Backed Loan,,,,Y,"$25,079.04",102
Name on File,Address on File,on File,1/7/2021,Retail Crypto‐Backed Loan,,,,Y,"$231,988.81",102
Name on File,Address on File,on File,6/11/2021,Institutional Loan,Y,Y,Y,Y,"$434,312.00",102
Name on File,Address on File,on File,3/18/2021,Institutional Loan,Y,Y,Y,Y,"$286,418.00",102
Vermont Department of Financial Regulation,89 Main St. Montpelier VT 05620‐3101,025S,02/14/22,Regulatory settlement outstanding payments,,,,,"$566,037.74",102
Name on File,Address on File,on File,1/22/2022,Retail Crypto‐Backed Loan,,,,Y,"$21,993.70",102
Name on File,Address on File,on File,1/13/2021,BPC Open and/or Term Loan,,,,,"$204,179.26",102
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$937.83,102
Name on File,Address on File,on File,5/9/2021,Retail Crypto‐Backed Loan,,,,Y,"$35,417.83",102
Name on File,Address on File,on File,5/14/2020,Retail Crypto‐Backed Loan,,,,Y,"$38,285.47",102
Name on File,Address on File,on File,2/19/2021,Retail Crypto‐Backed Loan,,,,Y,"$6,111.28",102
Name on File,Address on File,on File,10/29/2020,BPC Open and/or Term Loan,,,,,"$10,092,415.60",102
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,"$3,650.86",103
Name on File,Address on File,on File,6/18/2021,Retail Crypto‐Backed Loan,,,,Y,"$26,217.54",103
Name on File,Address on File,on File,8/9/2020,BPC Open and/or Term Loan,,,,,$625.93,103
Name on File,Address on File,on File,8/9/2020,Retail Crypto‐Backed Loan,,,,Y,"$198,040.99",103
Name on File,Address on File,on File,11/28/2022,BPC Interest,,,,,$1.73,103
Name on File,Address on File,on File,12/17/2020,Retail Crypto‐Backed Loan,,,,Y,"$2,279.19",103
Name on File,Address on File,on File,2/4/2022,Retail Crypto‐Backed Loan,,,,Y,"$137,015.62",103
Name on File,Address on File,on File,11/3/2021,Retail Crypto‐Backed Loan,,,,Y,"$53,882.70",103
